Day,Discipline_Code,Event,Phase,Venue
2024-07-24,FBL,Men,Men''s Group B,Geoffroy-Guichard Stadium
2024-07-24,FBL,Men,Men''s Group C,Parc des Princes
2024-07-24,RU7,Men,Men''s Pool B,Stade de France
2024-07-24,RU7,Men,Men''s Pool C,Stade de France
2024-07-24,FBL,Men,Men''s Group A,Nice Stadium
2024-07-24,RU7,Men,Men''s Pool A,Stade de France
2024-07-24,FBL,Men,Men''s Group D,Bordeaux Stadium
2024-07-25,HBL,Women,Women''s Preliminary Round Group A,South Paris Arena 6
2024-07-25,ARC,Women''s Individual,Women''s Individual Ranking Round,Invalides
2024-07-25,HBL,Women,Women''s Preliminary Round Group B,South Paris Arena 6
2024-07-25,RU7,Men,Men''s Pool B,Stade de France
2024-07-25,ARC,Men''s Individual,Men''s Individual Ranking Round,Invalides
2024-07-25,RU7,Men,Men''s Pool C,Stade de France
2024-07-25,RU7,Men,Men''s Pool A,Stade de France
2024-07-25,FBL,Women,Women''s Group A,Geoffroy-Guichard Stadium
2024-07-25,FBL,Women,Women''s Group C,La Beaujoire Stadium
2024-07-25,FBL,Women,Women''s Group B,Marseille Stadium
2024-07-25,RU7,Men,Men''s Placing 9-12,Stade de France
2024-07-25,RU7,Men,Men''s Quarter-finals,Stade de France
2024-07-26,SHO,10m Air Rifle Mixed Team,10m Air Rifle Mixed Team Training,Chateauroux Shooting Ctr
2024-07-26,SHO,10m Air Pistol Men,10m Air Pistol Men''s Training,Chateauroux Shooting Ctr
2024-07-26,SHO,10m Air Pistol Women,10m Air Pistol Women Training,Chateauroux Shooting Ctr
2024-07-26,CER,,,
2024-07-27,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-27,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp N,La Chapelle Arena
2024-07-27,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-27,HBL,Men,Men''s Preliminary Round Group A,South Paris Arena 6
2024-07-27,ROW,Men''s Single Sculls,Men''s Single Sculls Heats,Nautical St - Flat water
