Increment_ID,Team_Code,Team_Name,Discipline,Event,Athlete_Code,Coach_Code
1,CSPMC2-500M-ANG01,ANTONIO Manuel / SANDA Benilson,Canoe Sprint,Mens Canoe Double 500m,1896956,
2,CSPMC2-500M-ANG01,ANTONIO Manuel / SANDA Benilson,Canoe Sprint,Mens Canoe Double 500m,1896963,
3,ROWMSCULL2-LARG01,Argentina,Rowing,Lightweight Mens Double Sculls,1892874,
4,ROWMSCULL2-LARG01,Argentina,Rowing,Lightweight Mens Double Sculls,1892944,
5,ROWWSCULL2-LARG01,Argentina,Rowing,Lightweight Womens Double Sculls,1892797,
6,ROWWSCULL2-LARG01,Argentina,Rowing,Lightweight Womens Double Sculls,1893011,
7,CTRMMADISON-AUT01,Austria,Cycling Track,Mens Madison,1566120,
8,CTRMMADISON-AUT01,Austria,Cycling Track,Mens Madison,1566122,
9,EQUODRESTEAMAUT01,Austria,Equestrian,Dressage Team,1878961,
10,EQUODRESTEAMAUT01,Austria,Equestrian,Dressage Team,1878962,
11,EQUODRESTEAMAUT01,Austria,Equestrian,Dressage Team,1878963,
12,EQUODRESTEAMAUT01,Austria,Equestrian,Dressage Team,1878965,
13,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903237,1903896
14,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1915389,1903899
15,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903240,1922671
16,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903209,1942806
17,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903206,1949449
18,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903212,1949459
19,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903222,
20,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903214,
21,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1915391,
22,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903213,
23,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903224,
24,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903226,
25,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903242,
26,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1915386,
27,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1915390,
28,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1903229,
29,HOCMTEAM11--BEL01,Belgium,Hockey,Men,1915388,
30,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903233,1903894
31,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903227,1903897
32,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903234,1903898
33,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1915387,1922670
34,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1915394,1922672
35,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903232,1922673
36,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903243,1942804
37,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903219,1942833
38,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903205,1942834
39,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903238,1949449
40,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903228,1963552
41,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1915392,
42,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903223,
43,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903230,
44,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903202,
45,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903208,
46,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903207,
47,HOCWTEAM11--BEL01,Belgium,Hockey,Women,1903203,
48,ARCXTEAM2---BRA01,Brazil,Archery,Mixed Team,1958706,
49,ARCXTEAM2---BRA01,Brazil,Archery,Mixed Team,1958717,
50,SALM49ER----BRA01,SOFFIATTI GRAEL Marco / SIMOES Gabriel,Sailing,Mens Skiff,1961066,
51,SALM49ER----BRA01,SOFFIATTI GRAEL Marco / SIMOES Gabriel,Sailing,Mens Skiff,1961057,
52,SALW49ERFX--BRA01,SOFFIATTI GRAEL Martine / KUNZE Kahena,Sailing,Womens Skiff,1961065,
53,SALW49ERFX--BRA01,SOFFIATTI GRAEL Martine / KUNZE Kahena,Sailing,Womens Skiff,1961062,
54,SALX470-----BRA01,DUARTE HADDAD Henrique / SWAN Isabel,Sailing,Mixed Dinghy,1961058,
55,SALX470-----BRA01,DUARTE HADDAD Henrique / SWAN Isabel,Sailing,Mixed Dinghy,1961059,
56,SALXNACRA17-BRA01,SIEMSEN Joao / ARNDT Marina,Sailing,Mixed Multihull,1961061,
57,SALXNACRA17-BRA01,SIEMSEN Joao / ARNDT Marina,Sailing,Mixed Multihull,1961064,
58,TENMDOUBLES-BRA01,Monteiro / Seyboth Wild,Tennis,Mens Doubles,1955869,
59,TENMDOUBLES-BRA01,Monteiro / Seyboth Wild,Tennis,Mens Doubles,1955871,
60,TENWDOUBLES-BRA01,Haddad Maia / Stefani,Tennis,Womens Doubles,1955853,
61,TENWDOUBLES-BRA01,Haddad Maia / Stefani,Tennis,Womens Doubles,1955862,
62,TENXDOUBLES-BRA01,Stefani / Seyboth Wild,Tennis,Mixed Doubles,1955862,
63,TENXDOUBLES-BRA01,Stefani / Seyboth Wild,Tennis,Mixed Doubles,1955871,
64,CSPWC2-500M-CAN01,MACKENZIE Sloan / VINCENT Katie,Canoe Sprint,Womens Canoe Double 500m,1964583,
65,CSPWC2-500M-CAN01,MACKENZIE Sloan / VINCENT Katie,Canoe Sprint,Womens Canoe Double 500m,1964547,
66,CSPWK2-500M-CAN01,STOTT Courtney / DAVISON Natalie,Canoe Sprint,Womens Kayak Double 500m,1964567,
67,CSPWK2-500M-CAN01,STOTT Courtney / DAVISON Natalie,Canoe Sprint,Womens Kayak Double 500m,1964579,
68,CTRMMADISON-CAN01,Canada,Cycling Track,Mens Madison,1966690,
69,CTRMMADISON-CAN01,Canada,Cycling Track,Mens Madison,1966691,
70,CTRWMADISON-CAN01,Canada,Cycling Track,Womens Madison,1966652,
71,CTRWMADISON-CAN01,Canada,Cycling Track,Womens Madison,1966688,
72,ATHX42KWALKTCHN01,ZHANG Jun / YANG Jiayu,Athletics,Marathon Race Walk Relay Mixed,1918996,
73,ATHX42KWALKTCHN01,ZHANG Jun / YANG Jiayu,Athletics,Marathon Race Walk Relay Mixed,1919002,
74,ATHX42KWALKTCHN02,HE X / QIEYANG S,Athletics,Marathon Race Walk Relay Mixed,1918995,
75,ATHX42KWALKTCHN02,HE X / QIEYANG S,Athletics,Marathon Race Walk Relay Mixed,1919008,
76,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Badminton,Mens Doubles,1913425,
77,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Badminton,Mens Doubles,1913426,
78,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Badminton,Mens Doubles,1913424,
79,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Badminton,Mens Doubles,1913429,
80,BDMWDOUBLES-CHN01,LIU Sheng Shu / TAN Ning,Badminton,Womens Doubles,1913441,
81,BDMWDOUBLES-CHN01,LIU Sheng Shu / TAN Ning,Badminton,Womens Doubles,1913442,
